Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA
Date,,,,,,,,,,,,,,
2020-01-21,76.72728729248047,6.172623157501221,0.0,0.0,77.32109101550805,6.206232317702792,76.58913423087549,6.138515883324439,76.87755592935629,6.169386603778593,0.0,0.0,110843200,217916000
2020-01-22,77.00115203857422,6.2266459465026855,0.0,0.0,77.55617545523555,6.313282632634154,76.90662394261042,6.199011781976635,77.21443197966312,6.217932513980639,0.0,0.0,101832400,239240000
2020-01-23,77.37198638916016,6.295109748840332,0.0,0.0,77.45196545033632,6.303574363047856,76.50429530744599,6.177851622070898,77.05448142476102,6.266729121556851,0.0,0.0,104472000,244516000
2020-01-24,77.14897918701172,6.235858917236328,0.0,0.0,78.36567684308679,6.4604176577429815,76.95750435663503,6.18158632881277,77.61917870673385,6.41062619637619,0.0,0.0,146537600,373512000
2020-01-27,74.88042449951172,5.979929447174072,0.0,0.0,75.56390419530965,6.030965461207204,73.89397405733017,5.781511088686771,75.14945240379787,5.931133758359897,0.0,0.0,161940000,470536000
2020-01-28,76.99871826171875,6.173370838165283,0.0,0.0,77.1707993206053,6.205734954768902,75.66567993131815,5.992628094803605,75.76505276717205,6.045904928506568,0.0,0.0,162234000,310976000
2020-01-29,78.61050415039062,6.112873077392578,0.0,0.0,79.46122758988011,6.195028635711511,77.89308902061387,6.073039633351887,78.63716877095959,6.158929858989713,0.0,0.0,216229200,258848000
2020-01-30,78.49658966064453,6.119594573974609,0.0,0.0,78.5499115052326,6.13303842672881,77.25565298284903,5.960013876482431,77.6894985639716,6.015032910357498,0.0,0.0,126743200,290504000
2020-01-31,75.0161361694336,5.886072635650635,0.0,0.0,78.20815322919047,6.085735563083996,74.72044370453256,5.844248167250714,77.78400462606156,6.073785579299341,0.0,0.0,199588400,370420000
2020-02-03,74.81012725830078,5.9831671714782715,0.0,0.0,75.98077426743717,6.002585543127391,73.24925964840867,5.861676276932812,73.75338735630919,5.867900089648736,0.0,0.0,173788400,255564000
2020-02-04,77.27986907958984,6.152456760406494,0.0,0.0,77.47134392906342,6.171626786411852,76.01469422241806,6.075031622306087,76.42187506467558,6.125071890827961,0.0,0.0,136616400,271544000
2020-02-05,77.9100341796875,6.242828369140625,0.0,0.0,78.71228029302294,6.2836570930732725,77.30410766529131,6.159427759888117,78.41173571221898,6.273449793378493,0.0,0.0,118826800,208220000
2020-02-06,78.82134246826172,6.329714298248291,0.0,0.0,78.82376854121485,6.329714298248291,77.62161241012203,6.196025064805359,78.18148791656665,6.277184878977309,0.0,0.0,105425600,218284000
2020-02-07,77.74996948242188,6.263492107391357,0.1925,0.0,78.56869590968388,6.311789693895024,77.25678964383889,6.2380982666346805,78.31846195048404,6.289632406835149,0.0,0.0,117684000,189752000
2020-02-10,78.1192398071289,6.546804904937744,0.0,0.0,78.1192398071289,6.547551363668861,76.2485610979256,6.281168163508943,76.328729971042,6.286147404128844,0.0,0.0,109348800,529608000
